block_number,reserveA,reserveB,total_reserveA,total_reserveB
18181773,877666471056720727746,3080711874962983945902,916374040778562618728,3216579967940788292649
18182201,870028603372236827213,3086131495040570742184,908420074562210048116,3222312222801802259089
18182420,839403243407043670248,2972286358347141787104,876592099193714357818,3103970301202315309288
18182454,869477867686405289346,2941717645018145740066,908007615339247062279,3072075924096665995078
18182753,1013054810743989193422,2794006203907352675828,1058015203650412369584,2918007013516462792681
18182761,1013037847786694494833,2794022980232702057857,1057997487859986890612,2918024534392029235784
18183095,1010873704535555664591,2787096287969497057850,1055577690920221204552,2910350373965714484404
18183106,1012674086052590280292,2785316427523614802024,1057457690920221204443,2908491802542602998968
18183159,1011047431420557411960,2779884560051958268339,1055574868409192882800,2902313172930661037397
18183166,1012771501811982765648,2778180141822829269454,1057374868409192882842,2900533690591836225057
18183170,1013027754042442449347,2777926810600449603043,1057374341240559423381,2899534114097011557081
18183177,1013284665409248298800,2777672827772234788594,1057374336242799161952,2898533909401565534029
18183195,1012850736945159779276,2775524485347647610776,1056683338038769830459,2895639378050122783924
18183206,1013107857332852954840,2775270295915374600127,1056683338029818539573,2894639360455943084528
18183320,1012694016609482257369,2774276393551483416595,1056267884413013738171,2893647053237810738650
18183405,1012598044585008441186,2774371309537403080457,1056167782935577160009,2893746053237810738653
18183711,1011633716221869086946,2775325026941461068973,1055161961766194798411,2894740806883225701029
18183878,881804627615289984996,2899549636777586164469,919788660012019493901,3024448717469794825583
18183970,883717920021745378468,2891428308268745801290,921847353335110032341,3016183640669151429177
18184086,883661284948745254896,2891484322007177282532,921788274650647211922,3016242071210564684128
18184109,883757148750580187996,2891389547833721002354,921888274650647211927,3016143207852715106177
18184255,877400265387885351516,2868550321992987775521,915552226779514571747,2993283383346963900482
18184374,877388558700481043200,2868561900246491782942,915540011050680152176,2993295465057211760269
18184406,896643348557542107674,2849526019527069405944,935632056181314411422,2973431847881678334853
18184406,896643348557542107674,2849526019527069405944,935632056181314411422,2973431847881678334853
18184415,868439280864624779920,2877420622812642503230,906201592117031299181,3002539391109907497751
18184447,857246688960626124780,2888490463580942252568,894522313177435681114,3014090581330976043301
18184608,857265855540963636927,2888471514757660423739,894542313177435681112,3014070808556753254201
18184883,886015726047231858861,2860048387999823583853,924542313177435681110,2984411760090806400685
18184962,886994769035336680391,2859080475692779220381,925563927853464950124,2983401760090806400683
18185051,885856111189112663984,2854429155127199556027,924197689426364444588,2977974409702564843166
18185208,885728948417600527735,2854454910831343084720,924066050570884765654,2978004592372168866370
18186134,885545535225889677016,2854383215059092081711,923877299334704860892,2977938176067276498139
18186135,893597018362507587417,2846423278287414310910,932277299334704861246,2969633685112311918775
18187314,878393665568196182139,2858677034993865368099,916444239447381612514,2982510238693488218890
18187843,878126001167577387481,2858957409618978975861,916164820584740247590,2982802238813488224610
18188114,781858261983869700126,2570396193686736705847,819614238952027646824,2694520762303087082999
18188116,776001104432874613535,2576189103168554436785,813474238952027646822,2700593411691239200570
18188197,775791335088642412512,2575513484828716203778,813264236667061472194,2699918023737171599696
18188258,775795236176475301526,2569156546931070608393,813339687071634355904,2693490349615427559218
18188301,777607530562406920847,2567364848489251968412,815239687071634355814,2691611942296019870796
18188327,779259675654885227225,2562998663954286651714,817002704832575883903,2687136145179287816214
