sender,recipient,tokenAIn,exactOutput,amountIn,amountOut,activeTick,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,424918161168390852,433929602638163487,21,Swap,83,31,0xaa1429a31f11cd9269a85e4528d23db06af78800a5134237bdcaf0e9c2a75062,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x164f4e817dcf71ba29651c801f67eb8d0f4b6a92a401f2df2c4c5e997dc7124d,18154657
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,509776088924372503,520577097951590110,21,Swap,377,110,0x9a79c894052cad4dc9e11b2a257ed32169c892dc15d8b8647740899d830a863b,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xc42fdc61143c138b619ab23d185fdf434ea85e5e891a101fb945a76335761591,18154930
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,1422401306953198145,1452480800453152080,21,Swap,90,49,0xa11e464f4a7ab3c9a927c83a4b7bc2ba155c87f3f1b01bfb803950aeee1a23b5,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x3707d44087a480970dd1887b6311283c53fec7bb0265f87c6fdcaaf0c25660be,18155026
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,18939370442117080,19339304952434931,21,Swap,284,66,0xc054b55b2181ec78c901fe795a0053c571f1708680734e4541812a5ede9deff2,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x83a677d531605c6d2a2104d68816e40c9159b0dd123b31ac0c8c26e42f7a453b,18155387
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0x20c451070B87c94D15CD6A507E80ff375B9b0cFb,True,False,10000000000000000,9789286159394022,21,Swap,160,68,0xf3b9633779c651fbb9ecc512fd150c0fa9a6a23bf136549485a244e838221f8a,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xcc43d777704b26ec275e9f297857852855f09ff2c38a632380d27650f449b9e7,18155421
0xa06CF5995bF01eCE7789976C7aCcC24701a7Cd02,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,False,False,106092567793392017,108332642720061558,21,Swap,173,74,0x2faf44aee4648d48f8f63ac7e99723e9fd9f745f8f21d86620aa084c402fa7e9,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x79594e2e23c8c95aee0c7eab8725cabd73a7a5d0b62015def9e6f2bc54b254e3,18155500
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0x93d730ff5a6e11D0b7F57F053F15d8B85A582341,True,False,2100000000000000089,2055671303496713126,21,Swap,434,133,0x2f65c2e37c38cc1d7837f3f0544cfc0794bb57a52422766571e812341b14f2dc,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x49103418fbfcf8e5e25638d54133902a0b1fd5f6b1cef27bda4819320eedbf24,18156753
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,466912574002687339,476806021230994192,21,Swap,413,118,0x10b7ed27fb8b6decc52d63a55776b116613ff86061bb9be642410c11bfed57f4,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xbb9d77b57dee6bb18a1a3474102bc3b59cc242cc388fdfac76d2a75a6b4203d7,18157180
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,555183184761581427,566935024210871775,21,Swap,318,120,0xf026e35e98ce8b2e39722a384ebf36da72eea0a20937e925fb544d10cc9d0dd1,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xf62d39a062a934f68356da3434cfb40b994853e055dbc8fb71c9ccb31abbd4e9,18157312
0xa06CF5995bF01eCE7789976C7aCcC24701a7Cd02,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,False,False,489647054418687232,500000856815536734,21,Swap,173,13,0x3c716ccc36c6881503b2f6aed7828e5cfedd19bda3bda872deb471ce62e81670,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x7b04ccc3a09cc37cf428c1b886c2854dc0b1a44ed1e782622a8f30307d67b62b,18157520
