blockNumber,fee_in_ETH,fee_in_stETH
18174599,0.006498968065149761,0
18174663,3.657050849683138e-06,0
18174710,0,1.7621073248208324e-05
18174710,0,1.0967229075005987e-05
18174710,2.81852726559999e-08,0
18174745,3.7630530836453076e-06,0
18174747,0,0.000900163236548767
18174799,3.5830766534743274e-06,0
18174861,3.750080114433558e-06,0
18174871,0,0.001150199064135793
18174913,0,0.006600934509988911
18174927,3.5783017679677193e-06,0
18174962,3.621305288609872e-06,0
18175005,3.684310490773956e-06,0
18175059,3.7513160242186743e-06,0
18175101,3.572300837013158e-06,0
18175152,3.84132337668085e-06,0
18175191,0.0012755131151139627,0
18175213,3.6512694095686966e-06,0
18175295,3.87628589385829e-06,0
18175329,0,0.0001468273183508452
18175346,3.6212712964587336e-06,0
18175422,2.8749631287660275e-06,0
18175422,0,0.00010444534634095919
18175445,3.6522765263418785e-06,0
18175480,0,0.0003668151661021046
18175487,0.010003009610559391,0
18175494,0.0004106545752367297,0
18175539,3.750977532038888e-06,0
18175591,3.8499768200894625e-06,0
18175648,3.6529778947670206e-06,0
18175681,0.00041119713681182443,0
18175704,3.742964725020446e-06,0
18175778,3.711964904686063e-06,0
18175841,3.692964973162745e-06,0
18175858,0,0.0013546809194098855
18175928,3.5170052650628836e-06,0
18176121,5.141494063663933e-05,0
18176121,0,1.9630286749815716e-05
18176121,1.962443604113137e-05,0
18176158,0.0007998388838133619,0
18176174,1.5306523911721212e-05,0
18176239,7.28555977110826e-05,0
18176394,0,1.6159537900018983e-05
18176394,0,1.005646348729572e-05
18176394,2.5845229581821083e-08,0
18176750,0.00014548904178873754,0
18176900,0.004879093226549906,0
18177073,2.8937323421775568e-05,0
18177485,0,0.003220631216225462
18177702,0.00034979049499032943,0
18177747,1.828026035180156e-05,0
18177865,0.0004999060329283005,0
18178014,0.0025143318079344653,0
18178138,0.0004319083548882963,0
18178290,3.0768713879628135e-05,0
18178370,0.002499439258139909,0
18178438,0,0.01249694571910651
18178589,0.0007296588512053526,0
18178843,0.00030041615011886256,0
18178873,0,0.0004000557061207676
18178921,0.00020456130945885868,0
18179179,0,0.00027881237068574715
18179455,3.0047776382634528e-05,0
18179480,0.0004999303534419101,0
18179483,0.0009989002659995258,0
18179513,0.0010498386138786888,0
18179599,0.003798418698389612,0
18179900,9.070449989024022e-07,0
18179981,0.0005015724843974487,0
18180157,1.8611805962565877e-05,0
18180168,0.0009014996116465549,0
18180362,0,4.00080100347531e-05
18180428,5.5988796028735e-06,0
18180483,0,0.0018223511556637241
18180579,0.0018207380962072994,0
18180745,0.00030386271604120605,0
18180856,0,0.0005001003516326029
18180915,3.9992048208168644e-05,0
18180973,3.967415138240037e-06,0
18181042,3.879405788493096e-06,0
18181058,0.02486100978276577,0
18181079,0.0028988030482070245,0
18181092,0,0.003501436637835056
18181096,0.0039983507022678475,0
18181105,0,0.002501046461459191
18181110,0,0.00854286478768229
18181110,0,0.0029409615364091703
18181116,3.6589581602577728e-06,0
18181123,0.0049983233165321345,0
18181134,0.006497516822035213,0
18181134,1.99918300438168e-05,0
18181177,3.940586047455649e-06,0
18181244,0,0.019906532971336155
18181253,3.7912131747132504e-06,0
18181259,0,0.005971332462945578
18181291,3.5913760111312642e-06,0
18181327,3.681385326209179e-06,0
18181339,0,0.00030005933312935617
18181367,3.761402754526397e-06,0
18181417,3.67339321992154e-06,0
18181458,0,0.0011243819182114169
18181482,3.960459993338861e-06,0
18181511,3.6514239870157897e-06,0
18181554,3.687428057733001e-06,0
18181578,3.863448372689288e-06,0
18181609,3.749435024928818e-06,0
18181849,3.875449362646858e-06,0
18181877,3.758435678245679e-06,0
18181935,3.765436374697688e-06,0
18182002,3.746434058221824e-06,0
18182060,3.951457688513928e-06,0
18182068,1.7363915685259743e-05,0
18182104,0,7.068636075829957e-05
18182115,3.659425334639912e-06,0
18182138,0.0006134447082634414,0
18182174,3.5803982021064865e-06,0
18182220,0.0002006276937419042,0
18182226,3.840057415820313e-06,0
18182238,0,0.0008090161133987974
18182398,0.00035072062875974707,0
18182425,3.9484471514279784e-06,0
18182465,3.852436156367921e-06,0
18182491,1.3997333451026043e-05,0
18182561,3.750424064736761e-06,0
18182622,3.954446961789977e-06,0
